0.005,75.8
0.01,66.3
0.015,65.2
0.02,64.9
0.025,63.7
0.03,61.7
0.035,59.2
0.04,58.5
0.045,59.6
0.05,57.9
0.055,57.5
0.06,57.4
0.065,58.8
0.07,59.0
0.075,58.8
0.08,60.3
0.085,60.8
0.09,62.6
0.095,59.7
0.1,58.7
0.105,60.5
0.11,58.1
0.115,58.0
0.12,58.1
0.125,60.1
0.13,62.0
0.135,59.8
0.14,61.7
0.145,60.3
0.15,61.1
0.155,62.1
0.16,60.9
0.165,58.8
0.17,56.4
0.175,59.3
0.18,57.3
0.185,56.5
0.19,58.2
0.195,57.3
0.2,58.1
0.205,58.0
0.21,60.3
0.215,59.4
0.22,61.0
0.225,58.4
0.23,59.8
0.235,58.1
0.24,59.1
0.245,58.5
0.25,58.0
